question,correct_answer,0,1,2,difficulty
I came _____ America.,from,at,in ,on,Easy
I ____ cold.,am,have ,had ,is ,Easy
 ________ car is very old fashioned.,Fatima's,Fatima is ,Fatimas ,Fatimas’ ,Easy
I speak English but he_______.,doesn't speak,doesn’t speaks ,speaks ,don’t speak ,Easy
Nowadays everyone ______ internet.,uses,had used,used ,use ,Easy
______ there anybody in the room?,is,Are ,am ,if ,Easy
How many siblings ________?,both (A & B),do you have ,have you gotten ,did you had ,Easy
What___ you doing?,are,is ,am ,if ,Easy
Which book is ______?,yours,your ,your’s ,your is ,Easy
She is____ home.,at,in ,on ,from ,Easy
She eats___ apple.,an,a ,the ,two ,Easy
Why _____ she come late?,does,do ,is ,are,Easy
I_____ a pen.,have,has had ,has ,want,Easy
These ____ books.,are,is ,am ,is a ,Easy
60 minutes is______.,one hour,half an hour ,two hours ,three hours,Easy
The superlative form of far is_______.,farthest,farther ,more far ,most far,Easy
This girl is____ beautiful than her.,more,most ,very,beautifully,Easy
He is interested____ learning.,in,on ,from ,at,Easy
Where_____ John and Marry yesterday?,were,was ,had been ,had,Easy
How long__________ learning English?,have you been,are you ,did you ,had you,Easy
Are you _______ than her?,taller,more tall ,most tall ,tallest,Easy
You______ see a doctor.,all of them,should ,have to ,must,Easy
After this you should drive__________.,more carefully,more careful ,carefully,carefull,Easy
Do you go to school?  _________,"Yes, I go","yes, I do ","yes, I am going ","yes, I am",Easy
My birthday is_____ June.,in,on ,at ,from,Easy
My birthday is_____ 18 June.,on,at ,in ,from,Easy
Do you work_____night?,at,in ,on ,for,Easy
I_____ a horse.,ride,drive ,fly ,none of them,Easy
There_____ many people in the office.,are,is,am ,have,Easy
She______ the dishes yesterday.,washed,washes ,wash ,has have,Easy
_____ do you work?,where,what ,which ,whom,Easy
______do you work for?,whom,which,where,why,Easy
__________ I went to hospital.,On Friday,in friday,in Friday,on friday,Easy
He doesn't have_____ friend.,any,some,every,anybody,Easy
He is good____ drawing.,at,in,on,for,Easy
She______ goes to school.,always,hardly ever,sometimes,never,Easy
There are 50 questions_____ this paper.,in,at,on,for,Easy
When she was 10 years old,could,can,did,had,Easy
Is there _____ in the room?,anyone,someone,no one,somebody,Easy
I _____ born in 2002.,was,were,had been,has been,Easy
He drives car ______.,very fast,faster,fastest,so fast,Easy
Third form of eat is______.,eaten,ate,eated,had eat,Easy
Do you_____ to me?,listen,hear,both of them,none of them,Easy
You don't have_____ time.,much,many,so many,lots,Easy
She climbed________ Everest.,the Mount,Mount,mount,a mount,Easy
I will look_____ it in the book.,for,at,of,none of the above,Easy
My mother_____ delicious meal for us everyday.,cooks,cooked,had cooked,has cook,Easy
I haven't seen you_____ 2009.,since,for,from,till,Easy
You____ go to school.,have to,are forced to,have,are ordered to,Easy
I hope everyone_____ learned something from this.,has,had,have,has to,Easy
…………………….you give me a hand with this heavy suitcase?,Will,How much,Please,Do,Medium
"Let's change the subject, ...............?",shall we,will we,let us not,won't we,Medium
……………... wouldn't ever need such a useful instrument?,Who,Whom,Which one,Where and when,Medium
This is ............... exciting book I've ever read in my life!,the most,more,the mostly,the more,Medium
This ............... look like my overcoat; it ............... yours.,doesn't / must be,mustn't / must be,is / isn't,isn't / would be,Medium
Would you like .............. more tea? I'd like you to have .............. more.,some / some,to have / no,no / no,any / any,Medium
I'd rather be a hammer ............... a nail.,than,then,from,on,Medium
He ............... read a lot when he ............... a child.,used to / was,had to / had been,has / had been,didn't / had been,Medium
"By the time we got home, it ............... raining.",had stopped,has stopped,stops,didn't stop,Medium
"By the time we get home, it ............... raining.",will have stopped ,didn't stop,had stopped,stopped,Medium
This place ............... certainly ............... a lot since the last time we were here.,has / changed,might / change,will / change,should / change,Medium
"David: ""Tell me in earnest. Which of these two girls do you want to marry?""   John: ""_____.""",Neither one,Nobody,All of them,Everyone,Medium
Don't make .............. noise. Your father wants to get ............... sleep.,any more / some more,some / some,any / no more,some / some more,Medium
He ............... already left when we .............. there.,had / got,has / got,will have / got,would / got,Medium
What ............... will happen tomorrow?,do you think,will you think,are you thinking,you are thinking,Medium
.............. front door of ............... house was left open.,The / the,A / the,A / a,A / one,Medium
............. birds can fly very high in ............... sky.,Some / the,Some / a,The / a,The / the,Medium
