question,correct_answer,0,1,2,difficulty
What is the total of all the internal angles of a triangle?,180,160,90,190,Easy
What name is given to a triangle which has two sides of exactly the same length?,Isosceles,Scalene,Equilateral,Right Angled,Easy
"You have ten grey socks and ten blue socks you want to put into pairs. All socks are exactly the same except for their colour. If you are in the dark and so can’t see, how many socks would you need to take out to ensure you have at least a pair?",Three,Two,One,Four,Easy
What does 6 to the power 0 equal?,1,6,36,0,Easy
What is the name given to an angle that measures less than 90 degree?,Acute,Obtuse,Complementary,Supplementary,Easy
What is the name given to a straight line touching a circle?,A Tangent,A Arc,A segment,A Line,Easy
"What name is given to the following sequence: 0, 1, 1, 2, 3, 5, 8, 13, 21, 34, 55…?",The Fibonacci sequence,Pascal Series,Geometric series,Arithmetic Series,Easy
"What is the next number in the series; 1, 4, 9, 16, 25, …?",36,32,30,24,Easy
What is the highest common factor of 30 and 132?,6,2,3,5,Easy
What is the value of Pi to four decimal places?,3.1416,3.1254,3.1456,3.1412,Easy
How many vertices are there on a cube?,8,7,4,6,Easy
What is the prime number closest to 100?,101,102,105,99,Easy
What is the sum of the internal angles of a hexagon?,720,360,180,270,Easy
Which number is represented in binary as 100?,4,8,2,1,Easy
What was the year 1982 as a Roman Numeral?,MCMLXXXII,MCMLXXX,MCMLX,MCMLXXXX,Easy
What is the value of e?,2.718,2.723,2.584,2.698,Easy
"If one angle is 60°, what is the size of its alternate angle?",60,70,50,40,Easy
"What is the next number in the series; 256, 289, 324, 361,…?",400,420,390,480,Easy
What is the number zero in Roman numerals?,None of the above,I,II,III,Easy
"Three people all tell lies one third of the time. There is a coin flip that they all see, and all say is ‘heads’. What’s the probability it is actually ‘heads’?",08/09/22,08/10/22,08/07/22,07/09/22,Easy
"A man is four times as old as his son. In ten years, the man will be three times as old as his son. What is the man’s current age?",80,70,60,90,Easy
"Using only addition, how do you add eight 8s to get the number 1000?",888 + 88 + 8 + 8 + 8,888 + 8 + 88,888 + 88,888 + 88 + 8+ 8,Easy
With which three digit number is the second digit four times as large as the third and the first digit three less than the second?,141,142,140,143,Easy
"The three volumes of Lord of the Rings sit in order on a shelf. Each is 1 1/4 inches thick, with an inch of pages and 1/8 inch for each cover. A bookworm munches from page 1 of the first volume through to the last page of the third volume. How far does it travel?",1 1/2 inches,1 1/4 inches,1 1/8 inches,1 1/16 inches,Easy
Which 3 numbers have the same answer whether they’re added or multiplied together?,"1, 2, 3","2, 3, 4","3, 4, 5","5, 6, 7",Easy
"At a party everyone shook hands with everyone else. In total, there were 66 handshakes. How many people were at the party?",12,14,10,16,Easy
What are the only regular polygons that tessellate?,"Triangles, squares, and hexagons.","Circle, Triangles","Square, Circle",Circle,Easy
There are two ways of obtaining the number 100 using 4 sevens and a single one (and whatever mathematical symbol you want. One is 177-77 = 100. What is the other? (And no -77+177 doesn’t count).,(7+7) x (7 + (1/7)),(7 x 7) + (7 + 7),(7 x 7) + (7 x 7),(7 x 7) + (7 x 1/7),Easy
A hen and a half lays an egg and a half in a day and a half. How many eggs does one hen lay in a single day?,2/3 of an egg,1/2 of an egg,1/3 of an egg,2/5 of an egg,Easy
What is the volume of a cube that has sides of 7cm?,343,349,371,356,Easy
"What is the next number in the series: 4, 15, 48, 147, …?",444,454,443,412,Easy
What is 13²?,169,146,152,178,Easy
What is the thirteenth prime number?,41,47,37,53,Easy
What is the only number that is twice the sum of its digits?,18,15,19,17,Easy
How many hours are there in a year (to the nearest hour)?,8760,8752,8750,8740,Easy
"As Alice in Wonderland found out, in a room of how many people is the probability that two have the same birthday more than a half?",23,25,24,22,Easy
What is one twelfth as a decimal?,0.083,0.074,0.041,0.052,Easy
How many squares are there on a chess board?,204,205,64,256,Easy
"Pallindromically, what is 111111111 x 111111111?",1.23456789876543E+016,12.3,1.23E+016,1.23E+016,Easy
What is the formula for a circumference of a circle?,2πr,πr,4πr,8πr,Easy
What is the area of a triangle?,(base x height)/2,base x height,base / height,Base * 4 / height,Easy
Pythagoras’ theorem gives a formula for the length of the hypotenuse of a (right angled) triangle based on the lengths of the other sides? The length of the hypotenuse = …..what?,√(a²+b²),(a²+b²),(a²+b),√(a+b),Easy
What is the surface area of a sphere?,4πr²,2πr²,3πr²,8πr²,Easy
What is the formula for the volume of a cone (or pyramid)?,v = 1/3(b x h),v = 1/3(b / h),V = 1/4(b x h),V = 1/2(b x h),Easy
"In Newton’s second law of motion, Force equals what?",F = ma,F = a/m,F = ac,F = mc,Easy
What is the formula for the volume of a sphere?,v = 4/3 (πr³),V =  (πr³),V = 4(πr³),V = 3(πr³),Easy
"According to Einstein’s theory of relativity, what does c equal?",c = √(E/m).,c = √(E/a).,c = √(a/m).,c = √(E*m).,Easy
What is the volume of a cylinder?,v = πr²h,v = πrh,v = 4πr²h,v = 5πr²h,Easy
What is the sum of 130+125+191?,446,452,485,468,Medium
"If we minus 712 from 1500, how much do we get?",788,458,789,745,Medium
50 times of 8 is equal to:,400,420,485,698,Medium
110 divided by 10 is:,11,12,10,9,Medium
20+(90÷2) is equal to:,65,64,60,70,Medium
The product of 82 and 5 is:,410,420,400,500,Medium
"Find the missing terms in multiple of 3: 3, 6, 9, __, 15",11,10,9,8,Medium
Solve 24÷8+2.,5,4,6,8,Medium
Solve: 300 – (150×2),0,1,2,3,Medium
The product of 121 x 0 x 200 x 25 is,0,121,200,25,Medium
What is the next prime number after 5?,7,11,13,17,Medium
The circumference of the circle is also sometimes called:,Permiter of the circle,Area of Circle,Arc of Circle,Segment of Circle,Medium
90 – 35 is equal to:,55,54,53,50,Medium
72 divided by 8 is equal to:,9,4,9,5,Medium
How many sides does a decagon have?,10,11,8,5,Medium
9 x 7 is equal to:,63,60,64,72,Medium
Is triangle,2D Shape,3D Shape,4D Shape,1D Shape,Medium
An equilateral triangle has _ of its sides equal,3,2,1,0,Medium
8 raised to the power 0 is equal to:,1,8,0,16,Medium
The largest 4 digit number is:,9999,1999,2599,6877,Medium
The smallest 4-digit number is:,1000,1200,5644,7855,Medium
The square of 8 is equal to: ,64,16,32,80,Medium
The square root of 25 is ,5,4,6,None of the above,Medium
64 is a perfect square of,8,7,9,10,Medium
Cube of 5 is equal to:,125,124,189,120,Medium
Cube root of 1331 is:,11,12,10,13,Medium
27 is a perfect cube of,3,4,5,6,Medium
A square has all its angles equal to:,90,180,270,360,Medium
The area of rectangle is equal to:,L x B,L / B,2 x L x B,4 x L x B,Medium
"If a is the side of cube, then the volume of the cube is:",a x a x a,a x a,a / a,a x 2,Medium
A regular polygon has all its sides:,Equal,Propotion,Not Equal,Not in proportion,Medium
"If 16 = 11, 25 = 12, 36 = 15, then 49 = ?",20,14,19,17,Hard
"Which number is missing? 1, 9, 25, 49, (?)",81,121,16,169,Hard
"From the alternatives, select the set which is most alike the set (23, 29, 31).","(41, 43, 47)","(41, 43, 45)","(41, 42, 47)","(40, 43, 47)",Hard
